Name,Price,Rating,Brand,Gender,ProductType,Fragrance_family,Character,Ingredients,Concentration,Top_note,Middle_note,Base_note,Size,Year
Mancera Roses Greedy,419 SAR,Mancera,5,Women,Perfume,Perfume,Romantic,Floral,120 ml,"Mandarin, Peach, Coconut, Blackcurrant, Imposing French Rose, Jasmine, Aquatic flowers, Amber, Vanilla, White Musk & Tears of Benzoin",Eau de Parfum,"Mandarin, Peach, Coconut, Blackcurrant","Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Jabir Khater Set,309 SAR,Mancera,none,Women,Perfume,Perfume,Romantic,Floral,120 ml,"Mandarin, Peach, Coconut, Blackcurrant, Imposing French Rose, Jasmine, Aquatic flowers, Amber, Vanilla, White Musk & Tears of Benzoin",Eau de Parfum,"Mandarin, Peach, Coconut, Blackcurrant","Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
IL Profvmo Chocolat EDP,690 SAR,Mancera,none,Women,Perfume,Perfume,Romantic,Floral,120 ml,"Mandarin, Peach, Coconut, Blackcurrant, Imposing French Rose, Jasmine, Aquatic flowers, Amber, Vanilla, White Musk & Tears of Benzoin",Eau de Parfum,"Mandarin, Peach, Coconut, Blackcurrant","Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Candy Addict Tropical Lush Body Lotion - 250 ml,59 SAR,250 ml,none,Candy Addict,Unisex,Body Lotion,Fruity,Floral,120 ml,Pineapple,Guava,Musk,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Givenchy L'interdit Intense,395 SAR,250 ml,none,Candy Addict,Unisex,Body Lotion,Fruity,Floral,120 ml,Pineapple,Guava,Musk,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Paco Rabanne Lady Million Fabulous EDP,515 SAR,250 ml,none,Candy Addict,Unisex,Body Lotion,Fruity,Floral,120 ml,Pineapple,Guava,Musk,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Tom Ford Tobacco Vanille,1104 SAR,250 ml,none,Candy Addict,Unisex,Body Lotion,Fruity,Floral,120 ml,Pineapple,Guava,Musk,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Candy Addict Pink Kisses Body Lotion - 250 ml,59 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Rihanna Rogue,171 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Emanuel Ungaro Diva,201 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Chanel Les Exclusifs de Chanel Sycomore EDP,1377 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
"Very Important Notes No 3 EDP - Amber, Patchouli, Cardamom, Leather - 100 ml",299 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Juicy Couture Viva La Juicy Gold Couture,268 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Ibraheem Al.Qurashi Abaq Alroman Musk Spray,115 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Van Cleef & Arpels Bois D'Iris,732 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Candy Addict Lights ON EDP - 50 ml,159 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Gucci Bloom Nettare Di Fiori,352 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Hugo Boss Boss Nuit Pour Femme,178 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Selena Gomez Selena Gomez,258 SAR,250 ml,none,Candy Addict,Women,Body Lotion,Sweet,Floral,120 ml,"Fig , Strawberry",Cotton Candy,Caramel,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Candy Addict Secret Garden Body Lotion - 250 ml,59 SAR,250 ml,none,Candy Addict,Women,Body Lotion,"Floral,Fruity",Floral,120 ml,Green Apple,Violet,White Amber,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Vince Camuto Vince Camuto,414 SAR,250 ml,none,Candy Addict,Women,Body Lotion,"Floral,Fruity",Floral,120 ml,Green Apple,Violet,White Amber,"Rose, Jasmine, Aquatic flowers","Amber, Vanilla, White Musk & Tears of Benzoin."
Gucci Rush,440 SAR,Gucci,5,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Clinique Aromatics In White,239 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Hermes Elixir Des Merveilles,592 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Vince Camuto Fiori,295 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Jean-Louis Scherrer Scherrer 2,179 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Vera Wang Princess,251 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
J. Del Pozo Arabian Nights,564 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
J. Del Pozo Amber Patchouli Nights,564 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
J. Del Pozo Mystic Leather Nights,535 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
J. Del Pozo Desert Flowers Peony,295 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Alexandre.J Oscent Rouge,740 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Gucci Guilty Stud,558 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Prada La Femme L'Eau,275 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Valentino Donna Rosa Verde,441 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Perris Absolue D'Osmanthe,570 SAR,Gucci,none,Women,Perfume,Romantic,Woody Oriental,Red,75 ml,1999,"gardenia , freesia, jasmine, Turkish rose , coriander, vanilla, patchouli , vetiver",Eau de Toilette,"bergamot, peony, freesia","violet, jasmine, carnation"
Shiseido Zen,263 SAR,Shiseido,5,Women,Perfume,Charismatic,Floral Oriental,Gold,50 ml,2007,"Grapefruit, Bergamot, Orange, Pineapple, Rose, Freesia, Gardenia, Violet, Lily of the Valley, Lotus, Apple, Iris,Patchouli, Cedar, Amber, Incense, Musk.",Eau de Parfum,"Grapefruit, Bergamot, Peach, Pineapple","Blue Rose, Freesia, Gardenia, Red Apple, Violet, Muguet, Hyacinth, Rose, Lotus Flower"
Paris Hilton Rose Rush,187 SAR,Shiseido,none,Women,Perfume,Charismatic,Floral Oriental,Gold,50 ml,2007,"Grapefruit, Bergamot, Orange, Pineapple, Rose, Freesia, Gardenia, Violet, Lily of the Valley, Lotus, Apple, Iris,Patchouli, Cedar, Amber, Incense, Musk.",Eau de Parfum,"Grapefruit, Bergamot, Peach, Pineapple","Blue Rose, Freesia, Gardenia, Red Apple, Violet, Muguet, Hyacinth, Rose, Lotus Flower"
Atelier Cologne Emeraude Agar,1205 SAR,Shiseido,none,Women,Perfume,Charismatic,Floral Oriental,Gold,50 ml,2007,"Grapefruit, Bergamot, Orange, Pineapple, Rose, Freesia, Gardenia, Violet, Lily of the Valley, Lotus, Apple, Iris,Patchouli, Cedar, Amber, Incense, Musk.",Eau de Parfum,"Grapefruit, Bergamot, Peach, Pineapple","Blue Rose, Freesia, Gardenia, Red Apple, Violet, Muguet, Hyacinth, Rose, Lotus Flower"
Angel Schlesser Pour Elle,194 SAR,Shiseido,none,Women,Perfume,Charismatic,Floral Oriental,Gold,50 ml,2007,"Grapefruit, Bergamot, Orange, Pineapple, Rose, Freesia, Gardenia, Violet, Lily of the Valley, Lotus, Apple, Iris,Patchouli, Cedar, Amber, Incense, Musk.",Eau de Parfum,"Grapefruit, Bergamot, Peach, Pineapple","Blue Rose, Freesia, Gardenia, Red Apple, Violet, Muguet, Hyacinth, Rose, Lotus Flower"
Montale Vanilla Extasy,478 SAR,Montale,5,Women,Perfume,Charismatic,Oriental,Silver,100 ml,2008,"Apricot, Apricot Blossom, Jasmine, Ylang Ylang, Amber, Benzoin, Vanilla, Mahogany, Sandalwood",Eau de Parfum,"Apricot, Apricot Blossom","Ylang Ylang, Vanilla, Jasmine"
Montale Pure Gold,295 SAR,Montale,none,Women,Perfume,Charismatic,Oriental,Silver,100 ml,2008,"Apricot, Apricot Blossom, Jasmine, Ylang Ylang, Amber, Benzoin, Vanilla, Mahogany, Sandalwood",Eau de Parfum,"Apricot, Apricot Blossom","Ylang Ylang, Vanilla, Jasmine"
Givenchy Very Irresistible,549 SAR,Montale,none,Women,Perfume,Charismatic,Oriental,Silver,100 ml,2008,"Apricot, Apricot Blossom, Jasmine, Ylang Ylang, Amber, Benzoin, Vanilla, Mahogany, Sandalwood",Eau de Parfum,"Apricot, Apricot Blossom","Ylang Ylang, Vanilla, Jasmine"
Montale Pink Extasy,370 SAR,Montale,none,Women,Perfume,Charismatic,Oriental,Silver,100 ml,2008,"Apricot, Apricot Blossom, Jasmine, Ylang Ylang, Amber, Benzoin, Vanilla, Mahogany, Sandalwood",Eau de Parfum,"Apricot, Apricot Blossom","Ylang Ylang, Vanilla, Jasmine"
Montale Intense Pepper,414 SAR,Montale,none,Women,Perfume,Charismatic,Oriental,Silver,100 ml,2008,"Apricot, Apricot Blossom, Jasmine, Ylang Ylang, Amber, Benzoin, Vanilla, Mahogany, Sandalwood",Eau de Parfum,"Apricot, Apricot Blossom","Ylang Ylang, Vanilla, Jasmine"
Montale Day Dreams,388 SAR,Montale,none,Women,Perfume,Charismatic,Oriental,Silver,100 ml,2008,"Apricot, Apricot Blossom, Jasmine, Ylang Ylang, Amber, Benzoin, Vanilla, Mahogany, Sandalwood",Eau de Parfum,"Apricot, Apricot Blossom","Ylang Ylang, Vanilla, Jasmine"
Kenzo World EDT,356 SAR,Kenzo,5,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Montale Dark Aoud,370 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
The Beautiful Mind Series Volume 1 Intelligence Fantasy,499 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Montale Crystal Flowers,397 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Givenchy Very Irresistible Electric Rose,446 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Sofia Vergara Tempting,156 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Montale Aoud Melody,448 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Salvatore Ferragamo Amo Ferragamo,359 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Montale Aoud Ever,397 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Montale Amber & Spices,313 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
S.T.Dupont Special Edition Pour Femme,455 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Mont Blanc Lady Emblem L'eau,202 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Calvin Klein Ck All,168 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Michael Kors Wonderlust Sensual Essence,587 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Michael Kors Glam Ruby,320 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Michael Kors Exotic Blossom,353 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
S.T.Dupont Noble Wood,356 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Marina De Bourbon Royal Marina Intense,331 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Marina De Bourbon Cristal Royal Rose,324 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Mancera Roses Jasmine,447 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Mancera Indian Dream,427 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Ralph Lauren Safari,295 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Mancera Amber & Roses,379 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Perry Ellis 360°,187 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Justin Bieber Justin Bieber's Girlfriend,193 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Parfums Gres Cabotine Gold,115 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Parfums Gres Cabotine Rose,100 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Moschino Pink Fresh Couture,168 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Chanel Coco EDT,609 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Oscar De La Renta Oscar Velvet Noir,359 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Escada Delicate Notes,181 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Carven Dans Ma Bulle,408 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Escada Especially Escada,277 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Escada Especially Escada Elixir,238 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Oscar De La Renta Bella Blanca,286 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Caron L'Eau Pure,340 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
Elie Saab Le Parfum L'Eau Couture,429 SAR,Kenzo,none,Women,Perfume,Romantic,Floral,"Black,Blue",50 ml,2018,"Red Fruits, Peony, Floral Notes, Egyptian Jasmine, Ambroxan.",Eau de Toilette,"pear, bergamot","almond blossom, peony, rose"
One Direction That Moment,161 SAR,One Direction,5,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Elie Saab Le Parfum Intense,332 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Bvlgari Splendida Magnolia Sensuel,342 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
DKNY Be Delicious,214 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Givenchy Very Irresistible,279 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Britney Spears Hidden Fantasy,145 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Dior Addict,550 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Britney Spears Island Fantasy,140 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Braccialini Purple,216 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Braccialini Pour Femme,281 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Braccialini Casual Pour Femme,295 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Dior Miss Dior,695 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Boucheron Quatre En Rose Florale,484 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Dior Pure Poison,550 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Boucheron Quatre Absolu De Nuit,272 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Bottega Veneta Knot Eau Florale,485 SAR,One Direction,none,Women,Perfume,Extravagant,Fruity,100 ml,2014,"Apple, Grapefruit, Violet, Jasmine, Wood, Musk",Eau de Parfum,"Apple, Grapefruit","Violet, Jasmine","Wood, Musk"
Dior J'Adore,429 SAR,Dior,5,Women,Perfume,Perfume,Feminine,Floral,50 ml,2004,"Ylang-ylang,Damask rose,Jasmine sambac, Sandalwood",Eau de Parfum,Ylang-ylang,Damask rose
